sha256,field,value,match_type,matched_term
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\7950e2c5\69be3dec\a1\SIG,detection_indicator,sig
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\424bd4d8\1c83327b\a5\SIG,detection_indicator,sig
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\19ab8d57\c91dbb2\a6\SIG,detection_indicator,sig
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\3f50fe4f\17907762\a7\SIG,detection_indicator,sig
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,read_keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\7950e2c5\69be3dec\a1\SIG,detection_indicator,sig
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,read_keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\424bd4d8\1c83327b\a5\SIG,detection_indicator,sig
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,read_keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\19ab8d57\c91dbb2\a6\SIG,detection_indicator,sig
00292331ff18beb82d237c07fb988a59029a744416e8e65308bb01cb1e3f5970,read_keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\3f50fe4f\17907762\a7\SIG,detection_indicator,sig
002f7a0ee770c2af373265c67df8d99241a007f006360a412baed4fa3a8ceb2c,files,C:\tmpk0vfasgt\data\yara\*,detection_indicator,yara
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\7950e2c5\69be3dec\a1\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\c991064\5086dba8\99\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\6dc7d4c0\1c74cc87\9e\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\3ced59c5\3dc46903\9c\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\f6e8397\3e045c21\8f\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\2b1a4e4\23e7306f\4b\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\24bf93f6\6e527edf\8e\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\4f99a7c9\53bea2b0\39\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\424bd4d8\1c83327b\a5\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\19ab8d57\c91dbb2\a6\SIG,detection_indicator,sig
00326410c79664391fcb7df8224070582df134e8f141ff460e634950c46c34c6,keys,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Fusion\NativeImagesIndex\v2.0.50727_32\IL\3f50fe4f\17907762\a7\SIG,detection_indicator,sig
